Image,labels
30d390be-4652-46b1-813b-60a18a065ef4,0
1af1593e-ed3c-4e0e-ab29-56efe6d8ceda,6
c9628f58-51b7-45c1-8035-144259302cd7,11
ff0e9c8d-9890-46b3-87f1-11114a8a034b,0
9d2f82da-3544-4182-9bcf-9ad19a2e59c1,2
ab130a6f-48bd-47fa-ac6f-68693d7dce81,0
acdec903-1d66-49ec-bd2b-61814cec3688,4
34dc0f0d-1d46-4fa9-9145-815703bd60bf,8
c1346e5a-3bc0-4917-a8b9-8dd7ec722232,7
31084f53-59fd-4b43-a23a-60fa89b105d3,7
56fc091c-d164-4972-bd31-6719d49899be,8
cd053f2a-c8dd-49c4-9052-05f1d764f078,5
e77e4415-5bc9-429d-ad87-272dc8e9f6f2,7
8c538faf-5130-4603-ba41-c392176c6ea8,7
7de4489d-142c-4633-ac6c-7e0b988c4eae,1
1bc270cf-ef89-41fb-b8f6-9d02fab963a4,11
40139f76-5ae3-4d75-90aa-7b48f9924734,7
7e1990cd-f0d1-4cf5-b411-07b456e10705,4
a391ef6e-da72-4923-8e39-204fcaa061cd,5
c6994e66-7a67-4753-9964-3b6797eb4c2e,12
4f8dac5b-3bc8-4ece-9f21-e86741bc11d5,6
c0351b0b-5d05-4ef0-80f2-bc498c2e0f5c,12
7c0916dc-98dd-4487-bcdd-5460ca00a724,9
87c323fc-ea96-468e-90bd-dfca5fed813c,7
d2fb0ab3-460f-4174-9495-499b9909b899,1
219cda22-b96c-4e8a-b129-2fa5e822ccc0,10
c82d75b7-472b-4766-98eb-1edaa785fbe4,1
6d098176-588f-4435-918c-55f6124cbbf0,4
c69326d8-4c4f-45c5-a829-fc9328c3e6ca,8
0482ca53-8175-47be-af47-0493a903bc0f,9
796dd393-5a06-4f47-bf68-bc5dc43dd4c9,10
9973a087-1191-402c-82de-d58ab146a75b,10
ec7198ef-8d31-4af9-aff3-1fc00257b5e0,12
77c93ea8-f024-4ac9-9b35-4858e07909c1,0
c8ad998c-6114-4cfa-96c8-74e0f0f83e29,11
f85a51c8-b8dc-4ed2-82cc-d14195fc3c3c,2
0275ccd8-24fb-42c1-b0d6-2cbfb345d62f,0
5320a844-bc66-43a7-a6a5-eb5dd022ce50,3
8f72db4e-d3ba-4a22-a2c8-9c606c68e476,6
f0dfbf68-876b-42cf-9539-94ac80695991,3
bdafd455-ecf7-4e1f-9042-7c778b636f0e,4
f3ed0451-c669-48a3-8bd1-8f292ed34a49,11
135026b2-3c9b-4825-9e3b-1025f4e97800,2
b62c5eb8-19df-43b9-8e5b-962f05e7daa7,0
ebab2ecf-88ad-4801-8b7a-41b92feb5d43,6
95fd5988-6596-45d2-a3ce-702e2fe59307,5
8236c86a-5ddd-4638-a758-2a6dbc15c7c4,8
1edd0460-f678-40aa-bbc4-015c5c67d66b,10
343c9cc2-f204-4465-a45f-6b1b20e606b2,1
2e19e445-cde0-48b6-af48-10c7dfbc4cbc,10
281a92b9-7e69-4bcf-ae57-e984e463240c,0
bee76ec1-2559-4bad-a1c3-d31589c3b7b2,1
14f03356-20e2-491a-aa96-c62fd3be6138,11
052c2618-ad17-4ecb-ae3c-1af38ff36175,11
6946affd-4b40-4c49-ae57-29a35531f69e,3
3f7cc7c7-d398-4413-b150-4886059c07a4,0
d5b258ac-5d09-4915-93c9-29198bbb1057,3
51766286-f6ce-4484-953d-a97c937368af,6
